,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,DEFAULT_PAYMENT_NEXT_MONTH,TOTAL_BILL_AMT,TOTAL_PAY_AMT
134,135,30000,2,2,2,22,0,0,0,0,0,0,0,123482,5460
135,136,240000,1,2,1,34,0,0,0,2,2,2,0,77708,4627
136,137,150000,1,1,2,27,0,0,0,0,0,0,0,140829,20000
137,138,210000,2,2,1,33,0,0,0,0,0,0,0,43256,7046
138,139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,1,6932,6180
139,140,50000,1,1,2,24,0,0,0,0,0,0,0,208330,8960
140,141,240000,1,1,2,47,1,-2,-2,-2,-2,-2,1,0,0
141,142,180000,1,2,2,28,-1,-1,-1,-1,-1,-1,0,3828,5580
142,143,50000,1,2,2,23,1,2,2,2,0,0,0,99487,13500
143,144,170000,1,2,2,29,-2,-2,-2,-2,-2,-2,0,67988,65846
144,145,20000,1,1,2,29,-1,-1,-1,-1,0,-1,0,26510,23641
145,146,50000,1,1,2,28,0,0,0,0,0,3,0,48184,7183
146,147,170000,2,2,2,27,0,0,0,0,0,0,1,105012,3752
147,148,200000,1,1,2,34,1,2,0,0,0,0,0,794273,87000
148,149,80000,2,2,1,23,1,2,3,2,0,0,0,61950,4121
149,150,260000,2,1,1,60,1,-2,-1,-1,-1,-1,0,21038,24469
150,151,140000,1,2,1,32,0,0,0,0,2,0,0,411323,16267
151,152,80000,1,1,2,25,0,0,0,0,0,0,0,256528,63000
152,153,350000,1,1,2,41,1,-1,-1,-1,-1,-2,0,4744,4536
153,154,280000,2,2,1,56,0,0,0,0,0,0,0,971621,133200
154,155,30000,2,3,2,26,0,0,0,0,0,0,0,70072,8700
155,156,140000,1,1,1,34,0,0,0,0,0,0,0,222980,35389
156,157,200000,2,1,2,37,0,0,0,0,0,0,0,575407,22560
157,158,200000,2,3,2,30,0,0,0,0,0,0,0,1018160,37788
158,159,210000,1,3,1,45,2,3,4,4,5,6,1,805451,65268
159,160,50000,1,3,1,57,3,2,0,0,0,0,0,79884,3800
160,161,30000,1,1,2,41,2,2,2,2,2,0,0,162596,8150
161,162,50000,1,2,2,27,2,-1,-1,-1,-1,2,0,3396,2640
162,163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,0,3637,2376
163,164,250000,2,1,1,34,0,0,2,0,0,0,0,918942,39850
164,165,60000,2,2,1,46,0,0,0,0,0,0,0,150304,10000
165,166,110000,2,1,2,27,0,0,0,0,0,0,0,539339,21100
166,167,370000,1,1,2,50,-2,-2,-2,-2,-2,-2,0,63070,61944
167,168,100000,1,2,1,27,-1,2,2,0,0,0,0,310089,55906
168,169,90000,2,2,1,35,0,0,0,0,0,2,0,472951,24652
169,170,50000,2,2,2,22,0,0,0,0,0,0,0,171359,6795
170,171,270000,1,2,2,37,0,0,0,0,0,0,0,180209,19000
171,172,300000,2,1,2,30,-1,-1,-1,-1,-1,-1,0,11780,11846
172,173,50000,2,2,2,22,-1,0,0,0,0,0,0,53787,31149
173,174,50000,2,1,2,24,1,-2,-2,-2,-2,-2,1,-11569,0
174,175,360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,77,77
175,176,130000,1,3,1,56,1,2,2,2,2,3,1,410575,14500
176,177,80000,1,1,2,30,-2,-1,0,0,0,0,0,15624,6004
177,178,50000,1,2,2,30,1,2,0,0,0,2,0,220483,6500
178,179,20000,2,2,2,22,0,0,0,0,0,0,0,83914,6913
179,180,80000,2,2,1,29,0,0,2,0,0,0,0,323559,8800
180,181,240000,1,1,2,37,-1,-1,2,0,0,-1,0,118261,84191
181,182,80000,2,3,2,35,0,-1,0,0,0,0,0,129487,29000
182,183,500000,2,1,1,47,0,0,0,0,0,0,0,579243,222550
183,184,60000,2,2,1,24,0,0,0,0,0,0,1,222443,10837
184,185,20000,1,2,2,25,0,0,0,0,0,-1,0,50904,5353
185,186,100000,2,2,1,38,1,2,0,0,2,0,1,92351,5600
186,187,360000,2,1,2,32,1,-1,-1,-1,-1,-1,0,163546,199288
187,188,200000,2,3,2,47,2,2,2,2,2,2,1,1182582,35984
188,189,130000,2,2,1,34,1,-1,0,0,0,0,0,57742,17397
189,190,20000,2,2,2,31,1,5,4,4,3,2,0,125792,1760
190,191,310000,1,1,2,32,0,0,0,0,0,0,0,353740,40419
191,192,60000,2,1,2,27,2,0,0,0,2,0,1,130018,6752
192,193,180000,2,1,2,29,-1,-1,-1,-2,-1,0,0,45854,22881
193,194,180000,2,1,2,24,-1,-1,2,0,0,-2,0,68239,38067
194,195,50000,1,2,1,36,0,0,0,0,-1,-1,0,84870,26511
195,196,50000,2,1,2,24,1,2,2,2,2,2,1,228759,8132
196,197,150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,1616,1616
197,198,20000,2,1,2,22,0,0,0,0,-1,0,0,103511,24766
198,199,500000,2,1,1,34,-2,-2,-2,-1,-1,-1,0,6457,21861
199,200,30000,2,3,2,22,1,2,2,0,0,0,1,117854,2903
200,201,180000,2,1,1,38,-2,-2,-2,-2,-2,-2,0,750,0
201,202,140000,1,1,2,31,0,0,2,0,0,2,0,130872,38300
202,203,140000,2,1,2,26,-1,0,-1,-1,-1,-1,0,64236,49839
203,204,120000,1,2,2,26,0,0,0,0,0,0,0,688894,29152
204,205,360000,2,2,1,48,0,0,0,0,0,0,0,1202779,37500
205,206,20000,1,3,1,43,-1,-1,0,0,0,0,0,98941,31538
206,207,100000,1,1,1,47,-1,-1,-1,-1,-1,-1,0,3033,5023
207,208,210000,2,2,1,41,-1,-1,-1,-1,-1,-1,1,9657,6988
208,209,80000,2,2,2,24,0,0,0,0,0,0,1,391407,13838
209,210,330000,2,1,1,50,-1,-1,-1,-1,-2,-2,0,19462,10868
210,211,220000,1,1,2,24,0,0,0,-1,-1,-1,0,419979,103985
211,212,210000,2,1,1,38,1,-2,-1,0,-1,-1,1,2384,11877
212,213,40000,2,3,1,43,0,0,0,0,0,0,0,215945,8404
213,214,30000,1,2,2,39,0,0,0,2,0,0,0,103603,8493
214,215,470000,1,2,2,27,2,2,2,2,0,0,0,2002818,55690
215,216,30000,1,3,1,42,-1,-1,-1,-1,-1,2,0,3510,2490
216,217,240000,2,2,1,36,1,-2,-2,-2,-2,-2,1,-5676,0
217,218,80000,1,2,2,36,2,0,0,0,0,0,0,470809,19500
219,220,310000,2,1,2,38,-1,-1,-1,-1,-2,-2,0,6092,4668
220,221,360000,2,1,1,40,2,2,2,0,0,0,1,685565,32100
221,222,330000,2,3,2,45,0,0,0,0,0,0,0,2005418,73223
222,223,300000,2,2,2,35,0,0,0,0,0,0,0,1431315,74582
223,224,320000,2,2,2,33,0,0,0,0,0,0,0,437268,41866
224,225,50000,2,3,2,37,1,3,2,0,0,0,1,243968,34317
225,226,170000,2,1,2,28,0,0,0,0,0,0,0,772102,48549
226,227,350000,1,3,1,44,-1,-1,-1,-1,-1,-2,0,8384,5119
227,228,20000,1,2,1,37,0,0,0,0,0,0,0,108461,7564
228,229,50000,1,2,2,23,2,0,0,0,0,0,1,202501,9074
229,230,20000,2,3,2,24,1,2,0,0,0,0,0,63912,5133
230,231,50000,2,1,2,24,0,0,0,0,0,0,0,132930,6732
231,232,20000,1,2,2,23,1,2,0,0,2,0,1,94656,13200
232,233,50000,1,2,1,26,0,0,-2,-1,-1,0,0,197548,51938
233,234,190000,1,2,2,34,2,0,0,0,2,2,1,828058,34887
234,235,60000,2,2,1,33,0,0,0,0,0,0,0,175794,5935
235,236,80000,1,1,2,35,-1,-1,-1,-1,-1,-1,0,41852,36293
236,237,150000,2,2,2,27,0,0,0,0,0,0,0,399780,12625
237,238,210000,2,1,2,31,-2,-2,-2,-2,-1,-1,0,18130,19989
238,239,240000,2,3,1,50,0,0,0,0,0,0,1,1313227,50997
240,241,60000,2,1,2,28,1,2,2,-2,-2,-1,0,44436,2285
241,242,50000,1,1,2,39,0,0,0,0,0,0,0,241244,12800
242,243,50000,2,2,2,27,0,0,0,0,0,0,0,169234,7950
243,244,180000,2,1,2,32,-1,-1,2,2,-1,-1,0,14634,5818
244,245,30000,2,1,2,40,-1,-1,2,2,2,2,0,613,595
245,246,20000,2,2,2,40,0,0,0,0,0,-2,0,79889,5918
246,247,250000,2,2,1,75,0,-1,-1,-1,-1,-1,0,63417,11727
247,248,100000,2,2,2,27,0,0,0,0,0,0,0,196498,8260
248,249,330000,1,1,2,25,0,0,0,0,2,0,0,256005,15230
249,250,50000,1,3,1,46,0,0,0,0,0,0,0,117871,7027
250,251,50000,2,2,2,26,1,2,2,0,0,0,0,240862,10062
251,252,30000,1,2,2,28,0,0,0,0,0,0,0,135160,8056
252,253,140000,2,2,2,26,0,0,0,0,0,0,1,631439,25041
253,254,160000,2,1,2,28,0,0,0,0,-1,0,0,337391,132311
254,255,400000,2,2,2,29,-1,0,-1,-1,-1,-1,0,34030,14825
255,256,50000,1,2,1,25,0,0,0,0,0,0,0,173552,6842
256,257,140000,2,2,1,48,0,-1,-1,-1,-1,-1,0,27095,27501
257,258,160000,2,2,1,33,-1,-1,-1,-1,0,-1,0,82207,68661
258,259,100000,2,3,1,43,0,0,-2,-2,-2,-2,0,62170,0
259,260,220000,1,1,1,48,2,0,0,0,0,0,1,1129440,42020
260,261,510000,2,1,2,29,0,0,0,0,0,0,0,513211,160470
261,262,50000,1,2,2,29,0,0,0,0,0,0,0,202201,16512
262,263,160000,2,1,1,38,-1,-1,-1,-1,2,-1,0,63277,44142
263,264,230000,2,1,2,37,-2,-2,-2,-2,-2,-2,0,53735,51952
264,265,80000,2,1,2,37,-1,-1,-1,-1,-1,-1,0,35054,28957
265,266,150000,2,2,1,25,-1,-1,-2,-1,-1,-1,0,7104,1264
266,267,10000,1,3,2,23,0,0,0,0,0,2,0,52136,3932
267,268,130000,2,3,2,49,0,0,0,0,0,0,1,357781,9986
268,269,40000,2,1,2,48,0,0,0,0,0,0,0,207975,9200
269,270,50000,1,2,2,27,3,2,2,0,0,-1,1,73717,6631
270,271,100000,1,3,2,32,0,0,0,0,0,0,0,180209,9686
271,272,120000,1,1,1,34,-1,2,-1,0,0,0,0,4414,1800
272,273,260000,2,1,2,58,1,-2,-2,-2,-2,-2,1,0,0
273,274,200000,2,2,2,33,0,0,0,0,0,0,0,80871,11522
274,275,360000,2,2,2,28,-2,-2,-2,-2,-2,-2,1,0,0
275,276,70000,2,2,2,36,0,0,0,0,0,0,0,265753,28247
276,277,460000,1,1,1,40,2,-1,-1,-1,-1,-1,1,28039,27927
277,278,50000,2,1,2,26,-1,-1,-1,-1,-1,-1,0,2736,1896
278,279,50000,1,3,1,33,0,0,0,0,0,0,0,211791,7004
279,280,250000,2,2,1,31,0,0,0,0,0,0,0,604011,26900
280,281,30000,2,1,2,27,0,0,-1,0,0,-2,0,6448,3164
281,282,270000,1,2,1,44,0,0,0,0,-1,-1,0,486594,144214
282,283,180000,2,3,2,30,0,0,0,0,0,0,0,760211,27192
283,284,100000,2,1,2,28,0,0,0,0,0,0,0,323182,20198
284,285,230000,2,3,1,32,0,0,0,0,0,0,0,667517,29000
285,286,210000,2,1,1,46,-1,-1,-1,-1,-1,-1,0,211039,120470
286,287,210000,1,1,2,38,2,0,0,0,0,0,0,358970,13804
287,288,440000,2,2,1,46,0,0,0,0,0,0,0,828179,29746
288,289,100000,2,2,2,25,2,0,0,0,0,0,1,403638,13210
289,290,240000,2,2,1,46,0,0,0,0,0,0,0,56097,6295
290,291,280000,1,1,2,33,-1,-1,-1,-1,-1,-1,1,-336259,347739
291,292,50000,2,2,2,22,1,-2,-2,-2,-2,-2,1,0,0
292,293,30000,1,2,1,43,3,2,2,2,2,2,0,12972,2000
293,294,10000,1,2,2,27,0,0,2,0,0,0,1,56848,5470
294,295,130000,1,1,2,29,1,-2,-2,-2,-2,-2,0,0,1500
295,296,200000,1,1,2,31,0,0,0,0,0,0,0,978958,36425
296,297,120000,2,2,1,29,-1,-1,-1,-1,-1,-1,0,7765,8715
297,298,210000,2,2,1,36,0,0,0,0,0,0,0,858448,32709
298,299,280000,2,1,1,36,0,0,0,0,0,0,0,273640,11718
299,300,300000,1,1,2,34,1,-2,-1,0,-1,-1,1,45400,32799
300,301,100000,1,2,2,37,0,0,0,0,0,0,0,462851,15303
301,302,440000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,0,162000
302,303,50000,2,3,1,40,0,0,0,0,0,0,0,154301,7606
303,304,20000,2,1,2,25,0,0,2,0,0,0,1,98447,11500
304,305,200000,2,1,2,27,-1,-1,-1,0,0,0,0,18236,12927
305,306,110000,2,2,2,26,-2,-2,-2,-2,-2,-2,0,12860,12124
306,307,500000,2,2,1,36,-1,-1,-1,-1,-1,-1,0,47529,37052
307,308,300000,2,2,1,27,1,-1,-1,-2,-2,-2,0,5215,5215
308,309,30000,1,3,1,55,2,2,2,3,3,4,1,72863,8900
309,310,60000,2,1,2,27,-1,-1,-1,-1,-1,-1,0,65912,47111
310,311,400000,2,2,1,38,-1,0,-1,-1,0,-1,0,21153,19153
311,312,180000,2,2,1,34,0,0,0,0,0,0,0,827666,32000
312,313,20000,1,1,2,40,0,0,0,2,0,0,0,79047,10600
313,314,200000,2,3,1,49,-1,2,2,2,0,0,1,333047,16286
314,315,100000,1,1,2,27,0,0,0,0,0,0,0,194503,4871
315,316,60000,1,2,2,23,0,0,0,0,0,0,1,171532,8013
316,317,110000,2,2,2,36,0,0,0,0,0,0,0,303817,13500
317,318,260000,2,3,1,53,1,-1,-1,-2,-2,-1,0,2025,2484
318,319,50000,2,3,1,46,3,2,2,0,0,0,0,213516,7372
319,320,180000,1,2,2,29,1,-2,-2,-2,-2,-2,0,-12,0
320,321,110000,1,2,2,29,1,2,2,0,0,0,1,311346,10354
321,322,340000,2,1,2,27,0,0,0,0,0,0,0,923137,90147
322,323,50000,1,2,2,24,-1,0,0,0,0,0,0,31650,11019
323,324,230000,2,2,1,28,0,0,0,-2,-1,-1,1,55327,11750
324,325,360000,2,2,2,32,0,0,0,0,0,0,0,575409,57000
325,326,210000,1,2,2,43,1,-2,-1,0,0,0,0,160699,52013
326,327,220000,2,2,1,41,-1,2,2,-1,2,-1,1,3375,1925
327,328,60000,2,2,1,34,2,2,2,2,2,0,1,170082,10111
328,329,340000,1,2,1,55,-2,-1,-1,-2,-2,-2,0,137566,164386
329,330,150000,1,1,1,40,2,2,2,2,2,2,0,624055,25700
330,331,200000,2,2,1,37,1,-1,2,-1,-1,-1,1,47390,51400
331,332,130000,2,2,2,40,0,0,2,0,0,0,1,66514,7200
332,333,60000,2,1,2,28,1,2,0,0,0,0,0,96266,30696
333,334,400000,2,2,1,43,1,-2,-2,-2,-1,-1,0,79988,79988
334,335,20000,1,1,2,27,0,0,0,0,0,0,0,116747,5503
335,336,190000,2,1,2,28,0,0,0,0,0,0,0,912875,36836
336,337,260000,2,1,2,30,0,0,0,0,0,0,0,953100,44000
337,338,140000,2,2,2,31,-2,-2,-2,-2,-2,-2,0,390,0
338,339,50000,2,2,1,31,0,0,0,0,0,0,1,234080,10607
339,340,120000,2,1,2,34,-1,-1,0,-1,-1,-1,0,16986,20204
340,341,240000,2,2,2,30,-2,-2,-2,-2,-2,-2,0,368,2159
341,342,50000,1,2,2,36,0,0,0,0,-1,0,0,18847,3390
342,343,200000,2,1,2,29,-1,2,-1,-1,-1,2,0,76669,31055
343,344,180000,1,1,1,39,0,0,-1,0,0,-1,0,920802,284903
344,345,180000,2,1,2,26,0,0,0,0,0,0,0,734847,26710
345,346,160000,2,1,2,29,-1,-1,-2,-1,0,0,0,9832,24500
346,347,100000,2,2,2,26,-1,-1,-1,0,0,0,0,19223,13974
347,348,50000,2,2,2,29,0,0,0,0,0,0,1,273459,13000
348,349,140000,2,2,2,31,0,0,0,0,0,0,0,839924,34500
349,350,30000,2,2,2,26,0,0,0,0,0,0,1,117890,6064
350,351,90000,1,1,2,26,0,0,-1,0,0,-1,0,86582,31842
351,352,200000,1,1,1,36,1,-2,-1,-1,-2,-1,0,-26795,171133
352,353,380000,1,1,2,30,1,-2,-2,-2,-2,-2,1,0,0
353,354,80000,2,2,2,43,0,0,0,0,0,0,0,303152,12045
354,355,50000,1,3,1,58,2,2,2,0,0,2,0,109216,6673
355,356,180000,1,2,1,45,-1,0,0,0,0,0,1,177278,8781
356,357,240000,2,2,2,26,0,0,0,0,0,0,0,724940,27398
357,358,380000,1,2,2,34,0,0,0,0,0,0,0,1082561,64410
359,360,260000,1,1,1,34,-1,-1,-1,-1,-1,-1,0,137687,121666
360,361,500000,2,2,2,23,4,3,2,0,0,0,1,2926653,75500
361,362,320000,2,2,2,30,0,0,0,0,0,0,0,436318,15669
362,363,50000,1,2,2,32,4,3,2,0,0,0,0,248859,5485
363,364,110000,1,1,1,40,1,-2,-1,0,-1,-1,1,4498,2564
364,365,230000,2,1,2,35,-2,-2,-2,-2,-2,-2,0,3314,3073
365,366,330000,2,2,1,56,1,-1,-1,-2,-1,-1,0,15640,16061
366,367,50000,2,2,1,61,0,0,0,0,0,0,0,218302,10251
367,368,10000,1,2,2,24,-1,2,2,2,0,0,0,14752,1650
368,369,300000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0
369,370,20000,2,2,1,32,3,2,0,0,0,0,1,93331,3190
370,371,180000,1,2,1,36,2,2,-2,-2,-2,-2,1,83538,0
371,372,160000,1,1,2,30,-1,-1,-1,-1,-1,-1,0,61480,119926
372,373,90000,2,1,2,34,0,0,0,2,2,2,0,253776,20640
374,375,180000,1,1,1,46,0,0,0,0,0,0,0,836186,189463
375,376,30000,1,3,1,58,0,0,0,0,0,0,0,126272,8016
376,377,30000,1,2,1,43,1,2,0,0,0,2,0,132258,7488
377,378,140000,2,1,2,28,-1,0,0,-1,-1,-1,0,45024,35946
378,379,210000,1,1,2,30,0,0,0,0,0,0,0,327465,25500
